songid,week,total_weeks,cum_week,performer,song,genre,trackid,url,album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
ShallowLady Gaga & Bradley Cooper,0,33,1,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,FALSE,215733,89,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
Sicko ModeTravis Scott,0,32,1,Travis Scott,Sicko Mode,['rap'],2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=b8d3901151d34489a160e3cf0ab1fa94,ASTROWORLD,TRUE,312820,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
SpeechlessDan + Shay,0,25,1,Dan + Shay,Speechless,"['contemporary country', 'pop']",3GJ4hzg4lrGwU51Y3VARbF,https://p.scdn.co/mp3-preview/69de5cae36cc21287d66bcb93f3ba178198615c5?cid=b8d3901151d34489a160e3cf0ab1fa94,Dan + Shay,FALSE,213386,80,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,4
Sweet But PsychoAva Max,0,34,1,Ava Max,Sweet But Psycho,"['dance pop', 'pop', 'post-teen pop']",25sgk305KZfyuqVBQIahim,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=b8d3901151d34489a160e3cf0ab1fa94,Sweet but Psycho,FALSE,187436,89,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,0,20,1,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,"['melodic rap', 'pop rap', 'rap', 'trap']",1wJRveJZLSb1rjhnUHQiv6,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,189486,86,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
When The Party's OverBillie Eilish,0,23,1,Billie Eilish,When The Party's Over,"['electropop', 'pop']",43zdsphuZLzwA9k4DJhU0I,,WHEN WE ALL FALL ASLEE,FALSE,196077,91,0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
Without MeHalsey,0,41,1,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
Wow.Post Malone,0,44,1,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
You SayLauren Daigle,0,20,1,Lauren Daigle,You Say,"['ccm', 'christian music', 'worship']",6Up545NUflOiXo8cEraH49,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=b8d3901151d34489a160e3cf0ab1fa94,Look Up Child,FALSE,274693,81,0.486,0.632,5,-6.89,1,0.0344,0.682,0,0.0869,0.0791,147.892,4
A Lot21 Savage,1,23,2,21 Savage,A Lot,"['atl hip hop', 'pop rap', 'rap', 'trap']",2t8yVaLvJ0RenpXUIAC52d,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=b8d3901151d34489a160e3cf0ab1fa94,i am > i was,TRUE,288624,83,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
Baby SharkPinkfong,1,20,1,Pinkfong,Baby Shark,"['cartoon', ""children's music""]",5ygDXis42ncn6kYG14lEVG,https://p.scdn.co/mp3-preview/7fba543ccc085d6399714adf93517fc467086e2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Pinkfong Animal Songs,FALSE,96332,78,0.825,0.84,7,-3.651,1,0.227,0.245,0,0.341,0.52,115.062,4
Be AlrightDean Lewis,1,21,2,Dean Lewis,Be Alright,"['australian pop', 'pop']",3EPXxR3ImUwfayaurPi3cm,,Be Alright,TRUE,196373,85,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
Beautiful CrazyLuke Combs,1,25,2,Luke Combs,Beautiful Crazy,['contemporary country'],2rxQMGVafnNaRaXlRMWPde,https://p.scdn.co/mp3-preview/46f30246879a353edb15e19f91eb63376053cace?cid=b8d3901151d34489a160e3cf0ab1fa94,This One's for You Too (Deluxe Edition),FALSE,193200,82,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,4
BetterKhalid,1,34,2,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=b8d3901151d34489a160e3cf0ab1fa94,Suncity,FALSE,229320,82,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
Close FriendsLil Baby,1,22,1,Lil Baby,Close Friends,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",5nzhL67GpF9szXWg5y509A,,Drip Harder,TRUE,203881,80,0.676,0.578,10,-4.669,0,0.375,0.0509,0,0.0796,0.698,158.896,4
Drip Too HardLil Baby & Gunna,1,21,2,Lil Baby & Gunna,Drip Too Hard,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",78QR3Wp35dqAhFEc2qAGjE,,Drip Harder,TRUE,145542,86,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
"Eastsidebenny blanco, Halsey & Khalid",1,29,2,"benny blanco, Halsey & Khalid",Eastside,"['dance pop', 'pop', 'pop rap', 'tropical house']",0d2iYfpKoM0QCKvcLCkBao,,Eastside (with Halsey & Khalid),FALSE,173799,84,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
Envy MeCalboy,1,26,2,Calboy,Envy Me,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap']",7rvyVWja33WG9R97oeJAjx,https://p.scdn.co/mp3-preview/503bfbcca88f47c6d6176d1fc47c8662cd8e11ba?cid=b8d3901151d34489a160e3cf0ab1fa94,Wildboy,TRUE,120133,79,0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,4
Girls Like YouMaroon 5 Featuring Cardi B,1,22,2,Maroon 5 Featuring Cardi B,Girls Like You,"['pop', 'pop rock']",6V1bu6o1Yo5ZXnsCJU8Ovk,,Red Pill Blues (Deluxe),TRUE,235545,75,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4
Going BadMeek Mill Featuring Drake,1,34,2,Meek Mill Featuring Drake,Going Bad,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2IRZnDFmlqMuOrYOLnZZyc,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=b8d3901151d34489a160e3cf0ab1fa94,Championships,TRUE,180522,87,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
HappierMarshmello & Bastille,1,34,2,Marshmello & Bastille,Happier,"['brostep', 'progressive electro house']",2dpaYNEQHiRxtZbfNsse99,,Happier,FALSE,214289,90,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4
Here TonightBrett Young,1,20,1,Brett Young,Here Tonight,['contemporary country'],38nVuIj9mi5a8oopOJhSJk,,Ticket To L.A.,FALSE,216533,69,0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,4
High HopesPanic! At The Disco,1,32,2,Panic! At The Disco,High Hopes,"['baroque pop', 'emo', 'modern rock']",1rqqCSm0Qe4I9rUvWncaom,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=b8d3901151d34489a160e3cf0ab1fa94,Pray for the Wicked,FALSE,190946,88,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
Look Back At ItA Boogie Wit da Hoodie,1,29,2,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,179449,83,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
Make It SweetOld Dominion,1,20,1,Old Dominion,Make It Sweet,"['contemporary country', 'country road']",23vpjrt7G0ERE2L95dyxdI,https://p.scdn.co/mp3-preview/4348b7b358ef9fdeda197d019e71da64223c466c?cid=b8d3901151d34489a160e3cf0ab1fa94,Old Dominion,FALSE,187000,69,0.424,0.837,7,-4.453,1,0.0472,0.0373,0,0.0665,0.555,180.166,4
ShallowLady Gaga & Bradley Cooper,1,33,2,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,FALSE,215733,89,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
Sicko ModeTravis Scott,1,32,2,Travis Scott,Sicko Mode,['rap'],2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=b8d3901151d34489a160e3cf0ab1fa94,ASTROWORLD,TRUE,312820,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
SpeechlessDan + Shay,1,25,2,Dan + Shay,Speechless,"['contemporary country', 'pop']",3GJ4hzg4lrGwU51Y3VARbF,https://p.scdn.co/mp3-preview/69de5cae36cc21287d66bcb93f3ba178198615c5?cid=b8d3901151d34489a160e3cf0ab1fa94,Dan + Shay,FALSE,213386,80,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,4
Sweet But PsychoAva Max,1,34,2,Ava Max,Sweet But Psycho,"['dance pop', 'pop', 'post-teen pop']",25sgk305KZfyuqVBQIahim,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=b8d3901151d34489a160e3cf0ab1fa94,Sweet but Psycho,FALSE,187436,89,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,1,20,2,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,"['melodic rap', 'pop rap', 'rap', 'trap']",1wJRveJZLSb1rjhnUHQiv6,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,189486,86,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
When The Party's OverBillie Eilish,1,23,2,Billie Eilish,When The Party's Over,"['electropop', 'pop']",43zdsphuZLzwA9k4DJhU0I,,WHEN WE ALL FALL ASLEE,FALSE,196077,91,0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
Without MeHalsey,1,41,2,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
Wow.Post Malone,1,44,2,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
You SayLauren Daigle,1,20,2,Lauren Daigle,You Say,"['ccm', 'christian music', 'worship']",6Up545NUflOiXo8cEraH49,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=b8d3901151d34489a160e3cf0ab1fa94,Look Up Child,FALSE,274693,81,0.486,0.632,5,-6.89,1,0.0344,0.682,0,0.0869,0.0791,147.892,4
A Lot21 Savage,2,23,3,21 Savage,A Lot,"['atl hip hop', 'pop rap', 'rap', 'trap']",2t8yVaLvJ0RenpXUIAC52d,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=b8d3901151d34489a160e3cf0ab1fa94,i am > i was,TRUE,288624,83,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
Baby SharkPinkfong,2,20,2,Pinkfong,Baby Shark,"['cartoon', ""children's music""]",5ygDXis42ncn6kYG14lEVG,https://p.scdn.co/mp3-preview/7fba543ccc085d6399714adf93517fc467086e2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Pinkfong Animal Songs,FALSE,96332,78,0.825,0.84,7,-3.651,1,0.227,0.245,0,0.341,0.52,115.062,4
Be AlrightDean Lewis,2,21,3,Dean Lewis,Be Alright,"['australian pop', 'pop']",3EPXxR3ImUwfayaurPi3cm,,Be Alright,TRUE,196373,85,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
Beautiful CrazyLuke Combs,2,25,3,Luke Combs,Beautiful Crazy,['contemporary country'],2rxQMGVafnNaRaXlRMWPde,https://p.scdn.co/mp3-preview/46f30246879a353edb15e19f91eb63376053cace?cid=b8d3901151d34489a160e3cf0ab1fa94,This One's for You Too (Deluxe Edition),FALSE,193200,82,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,4
BetterKhalid,2,34,3,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=b8d3901151d34489a160e3cf0ab1fa94,Suncity,FALSE,229320,82,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
Close FriendsLil Baby,2,22,2,Lil Baby,Close Friends,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",5nzhL67GpF9szXWg5y509A,,Drip Harder,TRUE,203881,80,0.676,0.578,10,-4.669,0,0.375,0.0509,0,0.0796,0.698,158.896,4
Drip Too HardLil Baby & Gunna,2,21,3,Lil Baby & Gunna,Drip Too Hard,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",78QR3Wp35dqAhFEc2qAGjE,,Drip Harder,TRUE,145542,86,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
"Eastsidebenny blanco, Halsey & Khalid",2,29,3,"benny blanco, Halsey & Khalid",Eastside,"['dance pop', 'pop', 'pop rap', 'tropical house']",0d2iYfpKoM0QCKvcLCkBao,,Eastside (with Halsey & Khalid),FALSE,173799,84,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
Envy MeCalboy,2,26,3,Calboy,Envy Me,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap']",7rvyVWja33WG9R97oeJAjx,https://p.scdn.co/mp3-preview/503bfbcca88f47c6d6176d1fc47c8662cd8e11ba?cid=b8d3901151d34489a160e3cf0ab1fa94,Wildboy,TRUE,120133,79,0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,4
Girls Like YouMaroon 5 Featuring Cardi B,2,22,3,Maroon 5 Featuring Cardi B,Girls Like You,"['pop', 'pop rock']",6V1bu6o1Yo5ZXnsCJU8Ovk,,Red Pill Blues (Deluxe),TRUE,235545,75,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4
Going BadMeek Mill Featuring Drake,2,34,3,Meek Mill Featuring Drake,Going Bad,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2IRZnDFmlqMuOrYOLnZZyc,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=b8d3901151d34489a160e3cf0ab1fa94,Championships,TRUE,180522,87,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
HappierMarshmello & Bastille,2,34,3,Marshmello & Bastille,Happier,"['brostep', 'progressive electro house']",2dpaYNEQHiRxtZbfNsse99,,Happier,FALSE,214289,90,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4
Here TonightBrett Young,2,20,2,Brett Young,Here Tonight,['contemporary country'],38nVuIj9mi5a8oopOJhSJk,,Ticket To L.A.,FALSE,216533,69,0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,4
High HopesPanic! At The Disco,2,32,3,Panic! At The Disco,High Hopes,"['baroque pop', 'emo', 'modern rock']",1rqqCSm0Qe4I9rUvWncaom,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=b8d3901151d34489a160e3cf0ab1fa94,Pray for the Wicked,FALSE,190946,88,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
Look Back At ItA Boogie Wit da Hoodie,2,29,3,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,179449,83,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
Make It SweetOld Dominion,2,20,2,Old Dominion,Make It Sweet,"['contemporary country', 'country road']",23vpjrt7G0ERE2L95dyxdI,https://p.scdn.co/mp3-preview/4348b7b358ef9fdeda197d019e71da64223c466c?cid=b8d3901151d34489a160e3cf0ab1fa94,Old Dominion,FALSE,187000,69,0.424,0.837,7,-4.453,1,0.0472,0.0373,0,0.0665,0.555,180.166,4
ShallowLady Gaga & Bradley Cooper,2,33,3,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,FALSE,215733,89,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
Sicko ModeTravis Scott,2,32,3,Travis Scott,Sicko Mode,['rap'],2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=b8d3901151d34489a160e3cf0ab1fa94,ASTROWORLD,TRUE,312820,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
SpeechlessDan + Shay,2,25,3,Dan + Shay,Speechless,"['contemporary country', 'pop']",3GJ4hzg4lrGwU51Y3VARbF,https://p.scdn.co/mp3-preview/69de5cae36cc21287d66bcb93f3ba178198615c5?cid=b8d3901151d34489a160e3cf0ab1fa94,Dan + Shay,FALSE,213386,80,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,4
Sweet But PsychoAva Max,2,34,3,Ava Max,Sweet But Psycho,"['dance pop', 'pop', 'post-teen pop']",25sgk305KZfyuqVBQIahim,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=b8d3901151d34489a160e3cf0ab1fa94,Sweet but Psycho,FALSE,187436,89,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,2,20,3,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,"['melodic rap', 'pop rap', 'rap', 'trap']",1wJRveJZLSb1rjhnUHQiv6,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,189486,86,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
When The Party's OverBillie Eilish,2,23,3,Billie Eilish,When The Party's Over,"['electropop', 'pop']",43zdsphuZLzwA9k4DJhU0I,,WHEN WE ALL FALL ASLEE,FALSE,196077,91,0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
Without MeHalsey,2,41,3,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
Wow.Post Malone,2,44,3,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
You SayLauren Daigle,2,20,3,Lauren Daigle,You Say,"['ccm', 'christian music', 'worship']",6Up545NUflOiXo8cEraH49,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=b8d3901151d34489a160e3cf0ab1fa94,Look Up Child,FALSE,274693,81,0.486,0.632,5,-6.89,1,0.0344,0.682,0,0.0869,0.0791,147.892,4
A Lot21 Savage,3,23,4,21 Savage,A Lot,"['atl hip hop', 'pop rap', 'rap', 'trap']",2t8yVaLvJ0RenpXUIAC52d,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=b8d3901151d34489a160e3cf0ab1fa94,i am > i was,TRUE,288624,83,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
Baby SharkPinkfong,3,20,3,Pinkfong,Baby Shark,"['cartoon', ""children's music""]",5ygDXis42ncn6kYG14lEVG,https://p.scdn.co/mp3-preview/7fba543ccc085d6399714adf93517fc467086e2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Pinkfong Animal Songs,FALSE,96332,78,0.825,0.84,7,-3.651,1,0.227,0.245,0,0.341,0.52,115.062,4
Be AlrightDean Lewis,3,21,4,Dean Lewis,Be Alright,"['australian pop', 'pop']",3EPXxR3ImUwfayaurPi3cm,,Be Alright,TRUE,196373,85,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
Beautiful CrazyLuke Combs,3,25,4,Luke Combs,Beautiful Crazy,['contemporary country'],2rxQMGVafnNaRaXlRMWPde,https://p.scdn.co/mp3-preview/46f30246879a353edb15e19f91eb63376053cace?cid=b8d3901151d34489a160e3cf0ab1fa94,This One's for You Too (Deluxe Edition),FALSE,193200,82,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,4
BetterKhalid,3,34,4,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=b8d3901151d34489a160e3cf0ab1fa94,Suncity,FALSE,229320,82,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
