songid,week,total_weeks,cum_week,performer,song,genre,trackid,url,album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Know About YouChris Lane,28,20,1,Chris Lane,I Don't Know About You,['contemporary country'],3yOs8FffuG6hPbzQG9lIqV,https://p.scdn.co/mp3-preview/cd9770406745703e8927b26b58e64af577cdcb9c?cid=b8d3901151d34489a160e3cf0ab1fa94,Laps Around The Sun,FALSE,207933,75,0.593,0.81,1,-5.733,1,0.0625,0.602,0,0.119,0.712,144.011,4
BetterKhalid,0,34,1,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=b8d3901151d34489a160e3cf0ab1fa94,Suncity,FALSE,229320,82,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
Prayed For YouMatt Stell,32,20,1,Matt Stell,Prayed For You,"['arkansas country', 'contemporary country', 'country pop']",4j6GMcVcqZf1r0GDqMtYp6,https://p.scdn.co/mp3-preview/b8c1e07200c9943a5f7edc8777fadede79f9e64b?cid=b8d3901151d34489a160e3cf0ab1fa94,Everywhere But On,FALSE,210373,74,0.6,0.698,9,-5.86,1,0.0355,0.0724,1.64E-06,0.113,0.57,140.032,4
Eyes On YouChase Rice,8,20,1,Chase Rice,Eyes On You,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",5AnSllIrgGsCZzZJkVnApx,https://p.scdn.co/mp3-preview/6dc0462e080ae70994ee0a475cabff8489a9c3d8?cid=b8d3901151d34489a160e3cf0ab1fa94,Lambs & Lions,FALSE,182493,75,0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,4
ME!Taylor Swift Featuring Brendon Urie,17,20,1,Taylor Swift Featuring Brendon Urie,ME!,"['pop', 'post-teen pop']",2Rk4JlNc2TPmZe2af99d45,,Lover,FALSE,193000,86,0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
CallaitaBad Bunny & Tainy,24,20,1,Bad Bunny & Tainy,Callaita,"['latin', 'reggaeton', 'trap latino']",2TH65lNHgvLxCKXM3apjxI,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=b8d3901151d34489a160e3cf0ab1fa94,Callaita,TRUE,250533,92,0.61,0.624,2,-4.773,1,0.309,0.6,2.12E-06,0.243,0.244,176.169,4
Whiskey GlassesMorgan Wallen,10,27,1,Morgan Wallen,Whiskey Glasses,"['contemporary country', 'country road', 'deep talent show']",6foY66mWZN0pSRjZ408c00,https://p.scdn.co/mp3-preview/95ac7dba403384cdb429dc9a838a889a6579ecb2?cid=b8d3901151d34489a160e3cf0ab1fa94,If I Know Me,FALSE,234346,81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84E-06,0.115,0.707,149.959,4
SpeechlessDan + Shay,0,25,1,Dan + Shay,Speechless,"['contemporary country', 'pop']",3GJ4hzg4lrGwU51Y3VARbF,https://p.scdn.co/mp3-preview/69de5cae36cc21287d66bcb93f3ba178198615c5?cid=b8d3901151d34489a160e3cf0ab1fa94,Dan + Shay,FALSE,213386,80,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,4
TrampolineSHAED,23,29,1,SHAED,Trampoline,"['electropop', 'pop']",1iQDltZqI7BXnHrFy4Qo1k,,Trampoline (with ZAYN),FALSE,184280,92,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,4
Good As YouKane Brown,9,20,1,Kane Brown,Good As You,"['contemporary country', 'country road']",19kUPdKTp85q9RZNwaXM15,https://p.scdn.co/mp3-preview/305d6a3ac88fc268d56bc79a9bfba96c61a9a831?cid=b8d3901151d34489a160e3cf0ab1fa94,Experiment,FALSE,192053,76,0.634,0.516,8,-6.05,1,0.0373,0.4,0,0.142,0.769,153.831,4
Beautiful PeopleEd Sheeran Featuring Khalid,27,24,1,Ed Sheeran Featuring Khalid,Beautiful People,"['pop', 'uk pop']",4evmHXcjt3bTUHD1cvny97,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=b8d3901151d34489a160e3cf0ab1fa94,Beautiful People (feat. Khalid),FALSE,197866,90,0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
Miss Me MoreKelsea Ballerini,6,20,1,Kelsea Ballerini,Miss Me More,"['contemporary country', 'pop']",5NfJGBAL9mgFPRQxKJmiX2,https://p.scdn.co/mp3-preview/f8359f04282b90a6370181be389d054d2825ae3e?cid=b8d3901151d34489a160e3cf0ab1fa94,Unapologetically (Deluxe Edition),FALSE,192840,70,0.643,0.72,2,-7.146,1,0.0527,0.014,0,0.0834,0.491,96.028,4
All To MyselfDan + Shay,19,20,1,Dan + Shay,All To Myself,"['contemporary country', 'pop']",08tq1XcHwVt5PHXUo87i0D,https://p.scdn.co/mp3-preview/65db44647a32d7b351b163a7f674af68ff3d3e68?cid=b8d3901151d34489a160e3cf0ab1fa94,Dan + Shay,FALSE,169920,74,0.646,0.781,1,-4.616,1,0.0313,0.208,0,0.125,0.565,94.975,4
Talk You Out Of ItFlorida Georgia Line,8,26,1,Florida Georgia Line,Talk You Out Of It,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",4qQwGRtGT7l6ckQtdPEFd4,,Can't Say I Ain't Country,FALSE,202920,75,0.651,0.708,4,-4.791,1,0.0376,0.582,0,0.0796,0.558,119.964,4
Walk Me HomeP!nk,9,20,1,P!nk,Walk Me Home,"['dance pop', 'pop', 'post-teen pop']",7DHApOHsIFo7EyfieArYGE,https://p.scdn.co/mp3-preview/44e8764f6028b38a76a48e98d6d2f6019e60d14e?cid=b8d3901151d34489a160e3cf0ab1fa94,Walk Me Home,FALSE,177390,77,0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,3
RumorLee Brice,11,20,1,Lee Brice,Rumor,"['contemporary country', 'country', 'country road', 'modern country rock']",56eGOeSsqdg3FLxdo83TwV,https://p.scdn.co/mp3-preview/ebbbb748e7e30c64c88cf3dbc71237aad0818657?cid=b8d3901151d34489a160e3cf0ab1fa94,Lee Brice,FALSE,198440,77,0.655,0.56,9,-6.857,1,0.0486,0.749,0,0.115,0.599,140.975,4
One Thing RightMarshmello & Kane Brown,26,23,1,Marshmello & Kane Brown,One Thing Right,"['brostep', 'progressive electro house']",4hPpVbbakQNv8YTHYaOJP4,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=b8d3901151d34489a160e3cf0ab1fa94,One Thing Right,FALSE,181823,86,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
Tip Of My TongueKenny Chesney,29,20,1,Kenny Chesney,Tip Of My Tongue,"['contemporary country', 'country', 'country road']",40ufL61vEaDaaOitYhnlQ7,https://p.scdn.co/mp3-preview/1aaa3d8e7f79f50d2b795aac98f972667fe4565c?cid=b8d3901151d34489a160e3cf0ab1fa94,Tip of My Tongue,FALSE,199413,74,0.669,0.559,5,-5.003,1,0.0251,0.0805,0,0.0703,0.491,95.001,4
Close FriendsLil Baby,1,22,1,Lil Baby,Close Friends,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",5nzhL67GpF9szXWg5y509A,,Drip Harder,TRUE,203881,80,0.676,0.578,10,-4.669,0,0.375,0.0509,0,0.0796,0.698,158.896,4
TimeNF,29,20,1,NF,Time,"['hip hop', 'pop rap', 'rap']",6MxMqCgqmekcr0VwSU7AVH,,The Search,FALSE,240428,79,0.677,0.688,0,-4.058,0,0.0633,0.138,0,0.114,0.198,98.049,4
Pure WaterMustard & Migos,4,25,1,Mustard & Migos,Pure Water,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3j84U36KvLeXNDPv4t5pI8,,Perfect Ten,TRUE,192470,85,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,4
HappierMarshmello & Bastille,0,34,1,Marshmello & Bastille,Happier,"['brostep', 'progressive electro house']",2dpaYNEQHiRxtZbfNsse99,,Happier,FALSE,214289,90,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4
If I Can't Have YouShawn Mendes,19,23,1,Shawn Mendes,If I Can't Have You,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",6LsAAHotRLMOHfCsSfYCsz,,If I Can't Have You,FALSE,190800,86,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
No GuidanceChris Brown Featuring Drake,24,28,1,Chris Brown Featuring Drake,No Guidance,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",6XHVuErjQ4XNm6nDPVCxVX,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=b8d3901151d34489a160e3cf0ab1fa94,Indigo,TRUE,260640,87,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,4
Bad GuyBillie Eilish,14,38,1,Billie Eilish,Bad Guy,"['electropop', 'pop']",2Fxmhks0bxGSBdJ92vM42m,,WHEN WE ALL FALL ASLEE,FALSE,194087,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
PaniniLil Nas X,26,26,1,Lil Nas X,Panini,"['country rap', 'lgbtq+ hip hop', 'pop rap']",6fTt0CH2t0mdeB2N9XFG5r,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,114893,85,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
Truth HurtsLizzo,19,33,1,Lizzo,Truth Hurts,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",5qmq61DAAOUaW8AUo8xKhh,https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=b8d3901151d34489a160e3cf0ab1fa94,Cuz I Love You (Deluxe),TRUE,173325,90,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,4
Sweet But PsychoAva Max,0,34,1,Ava Max,Sweet But Psycho,"['dance pop', 'pop', 'post-teen pop']",25sgk305KZfyuqVBQIahim,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=b8d3901151d34489a160e3cf0ab1fa94,Sweet but Psycho,FALSE,187436,89,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
"Break Up With Your Girlfriend, I'm BoredAriana Grande",7,20,1,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored","['dance pop', 'pop', 'post-teen pop']",4kV4N9D1iKVxx1KLvtTpjS,,thank,TRUE,190440,85,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,4
Con CalmaDaddy Yankee & Katy Perry Featuring Snow,5,25,1,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",5w9c2J52mkdntKOmRLeM2m,,Con Calma,FALSE,193226,88,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,4
Look What God Gave HerThomas Rhett,10,20,1,Thomas Rhett,Look What God Gave Her,"['contemporary country', 'country', 'country road', 'modern country rock']",2KqJC0koTBUyDlsMt5ok1V,,Center Point Road,FALSE,168960,76,0.739,0.85,2,-3.966,1,0.0308,0.0272,0,0.181,0.883,113,4
Knockin' BootsLuke Bryan,18,22,1,Luke Bryan,Knockin' Boots,"['contemporary country', 'country', 'country road']",6ERR6e7h6wCqGoz1TjiUJb,,Knockin' Boots,FALSE,199382,76,0.739,0.682,2,-3.728,1,0.205,0.129,0,0.328,0.634,131.983,4
Envy MeCalboy,0,26,1,Calboy,Envy Me,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap']",7rvyVWja33WG9R97oeJAjx,https://p.scdn.co/mp3-preview/503bfbcca88f47c6d6176d1fc47c8662cd8e11ba?cid=b8d3901151d34489a160e3cf0ab1fa94,Wildboy,TRUE,120133,79,0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,4
Dancing With A StrangerSam Smith & Normani,3,45,1,Sam Smith & Normani,Dancing With A Stranger,"['pop', 'uk pop']",6Qs4SXO9dwPj5GKvVOv8Ki,,Dancing With A Stranger (with Normani),FALSE,171029,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,4
Please MeCardi B & Bruno Mars,8,20,1,Cardi B & Bruno Mars,Please Me,"['pop', 'pop rap', 'rap']",0PG9fbaaHFHfre2gUVo7AN,https://p.scdn.co/mp3-preview/a25d43f3262e07622ba8876b10d7a56d069eea05?cid=b8d3901151d34489a160e3cf0ab1fa94,Please Me,TRUE,200889,79,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,4
Without MeHalsey,0,41,1,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
Murder On My MindYNW Melly,4,20,1,YNW Melly,Murder On My Mind,"['melodic rap', 'trap']",7eBqSVxrzQZtK2mmgRG6lC,https://p.scdn.co/mp3-preview/b681a45cf2f796326f42bed43a6e419cd88ef92c?cid=b8d3901151d34489a160e3cf0ab1fa94,I AM YOU,TRUE,268434,86,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06E-06,0.11,0.74,115.007,4
SenoritaShawn Mendes & Camila Cabello,26,26,1,Shawn Mendes & Camila Cabello,Senorita,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",0TK2YIli7K1leLovkQiNik,,Se±orita,FALSE,190960,94,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
Worth ItYK Osiris,8,25,1,YK Osiris,Worth It,"['deep pop r&b', 'melodic rap', 'pop rap', 'trap']",4XiGKQqbmnMVxDzUj6j3f2,,Worth It,FALSE,189253,78,0.764,0.528,5,-4.082,0,0.0588,0.468,0,0.0811,0.422,123.936,5
You Need To Calm DownTaylor Swift,25,21,1,Taylor Swift,You Need To Calm Down,"['dance pop', 'pop', 'post-teen pop']",6RRNNciQGZEXnqk8SQ9yv5,,Lover,FALSE,171360,86,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,4
Pop OutPolo G Featuring Lil Tjay,13,27,1,Polo G Featuring Lil Tjay,Pop Out,['chicago rap'],6uFn47ACjqYkc0jADwEdj1,https://p.scdn.co/mp3-preview/505ae166c11669c630873c84719b6eb1346fd097?cid=b8d3901151d34489a160e3cf0ab1fa94,Die A Legend,TRUE,166560,86,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,4
7 RingsAriana Grande,4,33,1,Ariana Grande,7 Rings,"['dance pop', 'pop', 'post-teen pop']",6ocbgoVGwYJhOv1GgI9NsF,,thank,TRUE,178626,91,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4
Look Back At ItA Boogie Wit da Hoodie,0,29,1,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,179449,83,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
Only HumanJonas Brothers,24,27,1,Jonas Brothers,Only Human,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",0DiDStADDVh3SvAsoJAFMk,,Happiness Begins,FALSE,183000,88,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,4
"The LondonYoung Thug, J. Cole & Travis Scott",22,20,1,"Young Thug, J. Cole & Travis Scott",The London,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",7DcvwMAiqKJQD1rrdfxSDx,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=b8d3901151d34489a160e3cf0ab1fa94,The London,TRUE,200106,85,0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,4
I Don't CareEd Sheeran & Justin Bieber,20,30,1,Ed Sheeran & Justin Bieber,I Don't Care,"['pop', 'uk pop']",3HVWdVOQ0ZA45FuZGSfvns,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=b8d3901151d34489a160e3cf0ab1fa94,I Don't Care (with Justin Bieber),FALSE,219946,91,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Ballin'Mustard Featuring Roddy Ricch,30,22,1,Mustard Featuring Roddy Ricch,Ballin',"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3QzAOrNlsabgbMwlZt7TAY,,Perfect Ten,TRUE,180434,89,0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,4
Baby SharkPinkfong,1,20,1,Pinkfong,Baby Shark,"['cartoon', ""children's music""]",5ygDXis42ncn6kYG14lEVG,https://p.scdn.co/mp3-preview/7fba543ccc085d6399714adf93517fc467086e2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Pinkfong Animal Songs,FALSE,96332,78,0.825,0.84,7,-3.651,1,0.227,0.245,0,0.341,0.52,115.062,4
Wow.Post Malone,0,44,1,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
Money In The GraveDrake Featuring Rick Ross,25,23,1,Drake Featuring Rick Ross,Money In The Grave,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",5ry2OE6R2zPQFDO85XkgRb,,The Best In The World Pack,TRUE,205426,89,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
Sicko ModeTravis Scott,0,32,1,Travis Scott,Sicko Mode,['rap'],2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=b8d3901151d34489a160e3cf0ab1fa94,ASTROWORLD,TRUE,312820,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
Put A Date On ItYo Gotti Featuring Lil Baby,5,20,1,Yo Gotti Featuring Lil Baby,Put A Date On It,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6PRh0ilIMEP1xlUHqalnkD,https://p.scdn.co/mp3-preview/a972acdaefc637e1edc9221aea4d56f5714ee59c?cid=b8d3901151d34489a160e3cf0ab1fa94,Put a Date On It (feat. Lil Baby),TRUE,195257,69,0.835,0.659,4,-5.696,1,0.31,0.0123,0,0.372,0.579,129.93,4
A Lot21 Savage,0,23,1,21 Savage,A Lot,"['atl hip hop', 'pop rap', 'rap', 'trap']",2t8yVaLvJ0RenpXUIAC52d,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=b8d3901151d34489a160e3cf0ab1fa94,i am > i was,TRUE,288624,83,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
Middle ChildJ. Cole,4,27,1,J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",2JvzF1RMd7lE3KmFlsyZD8,,MIDDLE CHILD,TRUE,213593,87,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
SuckerJonas Brothers,10,38,1,Jonas Brothers,Sucker,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",22vgEDb5hykfaTwLuskFGD,,Happiness Begins,FALSE,181026,87,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
LalalaY2K & bbno$,27,21,1,Y2K & bbno$,Lalala,['pop rap'],51Fjme0JiitpyXKuyQiCDo,https://p.scdn.co/mp3-preview/3fa108534da58a2782b9c60b1c3a2d0aa18fb451?cid=b8d3901151d34489a160e3cf0ab1fa94,Lalala,TRUE,160626,92,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,4
The Git UpBlanco Brown,24,20,1,Blanco Brown,The Git Up,['country rap'],2KKijf6Ett4kmVNJze2roh,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=b8d3901151d34489a160e3cf0ab1fa94,Honeysuckle & Lightning Bugs,FALSE,200593,82,0.847,0.678,9,-8.635,1,0.109,0.0669,0,0.274,0.811,97.984,4
Girls Like YouMaroon 5 Featuring Cardi B,0,22,1,Maroon 5 Featuring Cardi B,Girls Like You,"['pop', 'pop rock']",6V1bu6o1Yo5ZXnsCJU8Ovk,,Red Pill Blues (Deluxe),TRUE,235545,75,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4
